frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
1,0.03,F1,1,1,34.0,441.0,,,0.0,,,,,,0.0,0.0,34.0
2,0.07,F1,1,1,42.0,442.0,8.06,24.19,8.1,,82.9,,,,0.0,0.0,42.0
3,0.1,F1,1,1,49.0,443.0,7.07,21.21,15.1,-89.21,81.9,,-1.0,,-1.0,1.0,49.0
4,0.13,F1,1,1,57.0,444.0,8.06,24.19,23.2,89.21,82.9,,1.0,2.01,0.0,2.0,57.0
5,0.17,F1,1,1,64.0,445.0,7.07,21.21,30.3,-89.21,81.9,,-1.0,-2.01,-1.0,3.0,64.0
6,0.2,F1,1,1,72.0,446.0,8.06,24.19,38.3,89.21,82.9,,1.0,2.01,0.0,4.0,72.0
7,0.23,F1,1,1,80.0,447.0,8.06,24.19,46.4,0.0,82.9,,0.0,-1.0,0.0,4.0,80.0
8,0.27,F1,1,1,87.0,448.0,7.07,21.21,53.5,-89.21,81.9,,-1.0,-1.0,-1.0,5.0,87.0
9,0.3,F1,1,1,95.0,448.0,8.0,24.0,61.5,83.6,90.0,,8.13,9.14,7.1,13.2,95.0
10,0.33,F1,1,1,103.0,450.0,8.25,24.74,69.7,22.16,76.0,,-14.04,-22.17,-6.9,27.2,103.0
11,0.37,F1,1,1,110.0,451.0,7.07,21.21,76.8,-105.76,81.9,,5.91,19.94,-1.0,33.1,110.0
12,0.4,F1,1,1,118.0,451.0,8.0,24.0,84.8,83.6,90.0,,8.13,2.22,7.1,41.2,118.0
13,0.43,F1,1,1,125.0,452.0,7.07,21.21,91.9,-83.6,81.9,,-8.13,-16.26,-1.0,49.4,125.0
14,0.47,F1,1,1,133.0,452.0,8.0,24.0,99.9,83.6,90.0,,8.13,16.26,7.1,57.5,133.0
15,0.5,F1,1,1,141.0,453.0,8.06,24.19,107.9,5.6,82.9,,-7.12,-15.26,0.0,64.6,141.0
16,0.53,F1,1,1,148.0,453.0,7.0,21.0,114.9,-95.6,90.0,,7.12,14.25,7.1,71.7,148.0
17,0.57,F1,1,1,156.0,453.0,8.0,24.0,122.9,90.0,90.0,,0.0,-7.12,7.1,71.7,156.0
18,0.6,F1,1,1,164.0,453.0,8.0,24.0,130.9,0.0,90.0,,0.0,0.0,7.1,71.7,164.0
19,0.63,F1,1,1,171.0,454.0,7.07,21.21,138.0,-83.6,81.9,,-8.13,-8.13,-1.0,79.9,171.0
20,0.67,F1,1,1,179.0,454.0,8.0,24.0,146.0,83.6,90.0,,8.13,16.26,7.1,88.0,179.0
21,0.7,F1,1,1,187.0,454.0,8.0,24.0,154.0,0.0,90.0,,0.0,-8.13,7.1,88.0,187.0
22,0.73,F1,1,1,194.0,454.0,7.0,21.0,161.0,-90.0,90.0,,0.0,0.0,7.1,88.0,194.0
23,0.77,F1,1,1,202.0,454.0,8.0,24.0,169.0,90.0,90.0,,0.0,0.0,7.1,88.0,202.0
24,0.8,F1,1,1,210.0,454.0,8.0,24.0,177.0,0.0,90.0,,0.0,0.0,7.1,88.0,210.0
25,0.83,F1,1,1,217.0,454.0,7.0,21.0,184.0,-90.0,90.0,,0.0,0.0,7.1,88.0,217.0
26,0.87,F1,1,1,225.0,454.0,8.0,24.0,192.0,90.0,90.0,,0.0,0.0,7.1,88.0,225.0
27,0.9,F1,1,1,233.0,454.0,8.0,24.0,200.0,0.0,90.0,,0.0,0.0,7.1,88.0,233.0
28,0.93,F1,1,1,240.0,454.0,7.0,21.0,207.0,-90.0,90.0,,0.0,0.0,7.1,88.0,240.0
29,0.97,F1,1,1,248.0,454.0,8.0,24.0,215.0,90.0,90.0,,0.0,0.0,7.1,88.0,248.0
30,1.0,F1,1,1,256.0,453.0,8.06,24.19,223.0,5.6,97.1,,7.12,7.12,14.3,95.1,256.0
31,1.03,F1,1,1,264.0,453.0,8.0,24.0,231.0,-5.6,90.0,,-7.12,-14.25,7.1,102.2,264.0
32,1.07,F1,1,1,272.0,453.0,8.0,24.0,239.0,0.0,90.0,,0.0,7.12,7.1,102.2,272.0
33,1.1,F1,1,1,279.0,452.0,7.07,21.21,246.1,-83.6,98.1,,8.13,8.13,15.3,110.4,279.0
34,1.13,F1,1,1,287.0,451.0,8.06,24.19,254.2,89.21,97.1,,-1.0,-9.14,14.3,111.4,287.0
35,1.17,F1,1,1,295.0,450.0,8.06,24.19,262.2,0.0,97.1,,0.0,1.0,14.3,111.4,295.0
36,1.2,F1,1,1,302.0,448.0,7.28,21.84,269.5,-70.39,105.9,,8.82,8.82,23.1,120.2,302.0
37,1.23,F1,1,1,310.0,446.0,8.25,24.74,277.8,86.95,104.0,,-1.91,-10.73,21.2,122.1,310.0
38,1.27,F1,1,1,317.0,445.0,7.07,21.21,284.8,-105.76,98.1,,-5.91,-4.0,15.3,128.0,317.0
39,1.3,F1,1,1,325.0,443.0,8.25,24.74,293.1,105.76,104.0,,5.91,11.81,21.2,133.9,325.0
