frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
50,1.67,F2,1,1,424.0,293.0,8.06,24.19,492.9,70.39,-150.3,,13.8,13.8,114.0,185.6,47.0
51,1.7,F2,1,1,420.0,287.0,7.21,21.63,500.1,-76.6,-146.3,,3.94,-9.85,118.0,189.5,51.0
52,1.73,F2,1,1,415.0,282.0,7.07,21.21,507.2,-12.6,-135.0,,11.31,7.36,129.3,200.8,56.0
53,1.77,F2,1,1,409.0,277.0,7.81,23.43,515.0,66.53,-129.8,,5.19,-6.12,134.5,206.0,62.0
54,1.8,F2,1,1,403.0,273.0,7.21,21.63,522.2,-53.92,-123.7,,6.12,0.92,140.6,212.2,68.0
55,1.83,F2,1,1,396.0,269.0,8.06,24.19,530.3,76.6,-119.7,,3.94,-2.17,144.5,216.1,75.0
56,1.87,F2,1,1,389.0,266.0,7.62,22.85,537.9,-40.18,-113.2,,6.55,2.6,151.1,222.6,82.0
57,1.9,F2,1,1,381.0,263.0,8.54,25.63,546.5,83.54,-110.6,,2.64,-3.9,153.7,225.3,90.0
58,1.93,F2,1,1,372.0,260.0,9.49,28.46,555.9,84.85,-108.4,,2.12,-0.52,155.9,227.4,99.0
59,1.97,F2,1,1,363.0,258.0,9.22,27.66,565.2,-24.06,-102.5,,5.91,3.78,161.8,233.3,108.0
60,2.0,F2,1,1,353.0,256.0,10.2,30.59,575.4,88.06,-101.3,,1.22,-4.69,163.0,234.5,118.0
61,2.03,F2,1,1,343.0,255.0,10.05,30.15,585.4,-13.33,-95.7,,5.6,4.38,168.6,240.1,128.0
62,2.07,F2,1,1,333.0,254.0,10.05,30.15,595.5,0.0,-95.7,,0.0,-5.6,168.6,240.1,138.0
63,2.1,F2,1,1,322.0,253.0,11.05,33.14,606.5,89.59,-95.2,,0.52,0.52,169.1,240.6,149.0
64,2.13,F2,1,1,311.0,252.0,11.05,33.14,617.6,0.0,-95.2,,0.0,-0.52,169.1,240.6,160.0
65,2.17,F2,1,1,300.0,251.0,11.05,33.14,628.6,0.0,-95.2,,0.0,0.0,169.1,240.6,171.0
66,2.2,F2,1,1,289.0,251.0,11.0,33.0,639.6,-4.08,-90.0,,5.19,5.19,174.3,245.8,182.0
67,2.23,F2,1,1,277.0,250.0,12.04,36.12,651.6,93.74,-94.8,,-4.76,-9.96,169.5,250.6,194.0
68,2.27,F2,1,1,265.0,250.0,12.0,36.0,663.6,-3.74,-90.0,,4.76,9.53,174.3,255.4,206.0
69,2.3,F2,1,1,253.0,250.0,12.0,36.0,675.6,0.0,-90.0,,0.0,-4.76,174.3,255.4,218.0
70,2.33,F2,1,1,241.0,250.0,12.0,36.0,687.6,0.0,-90.0,,0.0,0.0,174.3,255.4,219.0
71,2.37,F2,1,1,229.0,250.0,12.0,36.0,699.6,0.0,-90.0,,0.0,0.0,174.3,255.4,219.0
72,2.4,F2,1,1,217.0,250.0,12.0,36.0,711.6,0.0,-90.0,,0.0,0.0,174.3,255.4,217.0
73,2.43,F2,1,1,205.0,250.0,12.0,36.0,723.6,0.0,-90.0,,0.0,0.0,174.3,255.4,205.0
74,2.47,F2,1,1,193.0,250.0,12.0,36.0,735.6,0.0,-90.0,,0.0,0.0,174.3,255.4,193.0
75,2.5,F2,1,1,182.0,250.0,11.0,33.0,746.6,-90.0,-90.0,,0.0,0.0,174.3,255.4,182.0
76,2.53,F2,1,1,170.0,250.0,12.0,36.0,758.6,90.0,-90.0,,0.0,0.0,174.3,255.4,170.0
77,2.57,F2,1,1,158.0,249.0,12.04,36.12,770.7,3.74,-94.8,,-4.76,-4.76,169.5,260.1,158.0
78,2.6,F2,1,1,147.0,249.0,11.0,33.0,781.7,-93.74,-90.0,,4.76,9.53,174.3,264.9,147.0
79,2.63,F2,1,1,136.0,248.0,11.05,33.14,792.7,4.08,-95.2,,-5.19,-9.96,169.1,270.1,136.0
80,2.67,F2,1,1,125.0,247.0,11.05,33.14,803.8,0.0,-95.2,,0.0,5.19,169.1,270.1,125.0
81,2.7,F2,1,1,115.0,246.0,10.05,30.15,813.8,-89.59,-95.7,,-0.52,-0.52,168.6,270.6,115.0
82,2.73,F2,1,1,104.0,245.0,11.05,33.14,824.9,89.59,-95.2,,0.52,1.03,169.1,271.1,104.0
83,2.77,F2,1,1,95.0,243.0,9.22,27.66,834.1,-164.32,-102.5,,-7.33,-7.85,161.8,278.5,95.0
