frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
1,0.03,F3,1,1,33.0,436.0,,,0.0,,,,,,0.0,0.0,33.0
2,0.07,F3,1,1,41.0,437.0,8.06,24.19,8.1,,82.9,,,,0.0,0.0,34.0
3,0.1,F3,1,1,49.0,437.0,8.0,24.0,16.1,-5.6,90.0,,7.12,,7.1,7.1,34.0
4,0.13,F3,1,1,57.0,436.0,8.06,24.19,24.1,5.6,97.1,,7.12,0.0,14.3,14.3,35.0
5,0.17,F3,1,1,65.0,435.0,8.06,24.19,32.2,0.0,97.1,,0.0,-7.12,14.3,14.3,36.0
6,0.2,F3,1,1,73.0,434.0,8.06,24.19,40.2,0.0,97.1,,0.0,0.0,14.3,14.3,37.0
7,0.23,F3,1,1,82.0,431.0,9.49,28.46,49.7,128.21,108.4,,11.31,11.31,25.6,25.6,40.0
8,0.27,F3,1,1,91.0,429.0,9.22,27.66,59.0,-24.06,102.5,,-5.91,-17.22,19.7,31.5,42.0
9,0.3,F3,1,1,100.0,426.0,9.49,28.46,68.4,24.06,108.4,,5.91,11.81,25.6,37.4,45.0
10,0.33,F3,1,1,111.0,422.0,11.7,35.11,80.1,199.61,110.0,,1.55,-4.36,27.1,38.9,49.0
11,0.37,F3,1,1,121.0,417.0,11.18,33.54,91.3,-47.19,116.6,,6.58,5.03,33.7,45.5,54.0
12,0.4,F3,1,1,130.0,411.0,10.82,32.45,102.1,-32.73,123.7,,7.12,0.54,40.8,52.6,60.0
13,0.43,F3,1,1,139.0,405.0,10.82,32.45,113.0,0.0,123.7,,0.0,-7.12,40.8,52.6,66.0
14,0.47,F3,1,1,147.0,399.0,10.0,30.0,123.0,-73.5,126.9,,3.18,3.18,44.0,55.8,72.0
15,0.5,F3,1,1,155.0,392.0,10.63,31.89,133.6,56.71,131.2,,4.32,1.14,48.3,60.1,79.0
16,0.53,F3,1,1,161.0,385.0,9.22,27.66,142.8,-126.95,139.4,,8.21,3.9,56.5,68.3,86.0
17,0.57,F3,1,1,167.0,378.0,9.22,27.66,152.0,0.0,139.4,,0.0,-8.21,56.5,68.3,93.0
18,0.6,F3,1,1,172.0,371.0,8.6,25.81,160.6,-55.55,144.5,,5.06,5.06,61.6,73.4,100.0
19,0.63,F3,1,1,176.0,364.0,8.06,24.19,168.7,-48.61,150.3,,5.79,0.73,67.4,79.2,107.0
20,0.67,F3,1,1,180.0,357.0,8.06,24.19,176.8,0.0,150.3,,0.0,-5.79,67.4,79.2,114.0
21,0.7,F3,1,1,182.0,350.0,7.28,21.84,184.0,-70.39,164.1,,13.8,13.8,81.2,93.0,121.0
22,0.73,F3,1,1,183.0,343.0,7.07,21.21,191.1,-18.81,171.9,,7.82,-5.98,89.0,100.8,128.0
23,0.77,F3,1,1,183.0,337.0,6.0,18.0,197.1,-96.4,180.0,,8.13,0.32,97.1,108.9,134.0
24,0.8,F3,1,1,182.0,331.0,6.08,18.25,203.2,7.45,-170.5,,9.46,1.33,106.6,118.4,140.0
25,0.83,F3,1,1,180.0,326.0,5.39,16.16,208.6,-62.78,-158.2,,12.34,2.88,118.9,130.7,145.0
26,0.87,F3,1,1,177.0,321.0,5.83,17.49,214.4,40.12,-149.0,,9.16,-3.18,128.1,139.9,150.0
27,0.9,F3,1,1,172.0,317.0,6.4,19.21,220.8,51.5,-128.7,,20.38,11.21,148.5,160.3,154.0
28,0.93,F3,1,1,166.0,314.0,6.71,20.12,227.5,27.46,-116.6,,12.1,-8.28,160.6,172.4,157.0
29,0.97,F3,1,1,158.0,311.0,8.54,25.63,236.1,165.22,-110.6,,6.01,-6.09,166.6,178.4,158.0
30,1.0,F3,1,1,150.0,310.0,8.06,24.19,244.1,-43.36,-97.1,,13.43,7.42,180.0,191.8,150.0
31,1.03,F3,1,1,142.0,311.0,8.06,24.19,252.2,0.0,-82.9,,14.25,0.82,194.3,206.1,142.0
32,1.07,F3,1,1,134.0,313.0,8.25,24.74,260.4,16.56,-76.0,,6.91,-7.34,201.2,213.0,134.0
33,1.1,F3,1,1,126.0,317.0,8.94,26.83,269.4,62.83,-63.4,,12.53,5.62,213.7,225.5,126.0
34,1.13,F3,1,1,119.0,322.0,8.6,25.81,278.0,-30.78,-54.5,,8.97,-3.56,222.7,234.5,119.0
35,1.17,F3,1,1,113.0,328.0,8.49,25.46,286.5,-10.53,-45.0,,9.46,0.49,232.1,243.9,113.0
36,1.2,F3,1,1,108.0,334.0,7.81,23.43,294.3,-60.75,-39.8,,5.19,-4.27,237.3,249.1,108.0
37,1.23,F3,1,1,103.0,341.0,8.6,25.81,302.9,71.29,-35.5,,4.27,-0.93,241.6,253.4,103.0
38,1.27,F3,1,1,100.0,349.0,8.54,25.63,311.4,-5.25,-20.6,,14.98,10.71,256.6,268.4,100.0
39,1.3,F3,1,1,98.0,357.0,8.25,24.74,319.7,-26.8,-14.0,,6.52,-8.46,263.1,274.9,98.0
40,1.33,F3,1,1,98.0,366.0,9.0,27.0,328.7,67.84,0.0,,14.04,7.52,277.1,288.9,98.0
41,1.37,F3,1,1,99.0,375.0,9.06,27.17,337.7,4.98,6.3,,6.34,-7.7,283.5,295.3,96.0
42,1.4,F3,1,1,101.0,383.0,8.25,24.74,346.0,-72.83,14.0,,7.7,1.36,291.2,303.0,88.0
43,1.43,F3,1,1,104.0,390.0,7.62,22.85,353.6,-56.74,23.2,,9.16,1.47,300.3,312.1,81.0
44,1.47,F3,1,1,108.0,395.0,6.4,19.21,360.0,-109.14,38.7,,15.46,6.3,315.8,327.6,76.0
45,1.5,F3,1,1,113.0,399.0,6.4,19.21,366.4,0.0,51.3,,12.68,-2.78,328.5,340.3,72.0
46,1.53,F3,1,1,118.0,402.0,5.83,17.49,372.2,-51.5,59.0,,7.7,-4.98,336.2,348.0,69.0
47,1.57,F3,1,1,124.0,403.0,6.08,18.25,378.3,22.66,80.5,,21.5,13.8,357.7,369.5,68.0
48,1.6,F3,1,1,130.0,403.0,6.0,18.0,384.3,-7.45,90.0,,9.46,-12.04,367.1,378.9,68.0
49,1.63,F3,1,1,137.0,403.0,7.0,21.0,391.3,90.0,90.0,,0.0,-9.46,367.1,378.9,68.0
50,1.67,F3,1,1,144.0,401.0,7.28,21.84,398.6,25.21,105.9,,15.94,15.94,383.1,394.9,70.0
51,1.7,F3,1,1,151.0,398.0,7.62,22.85,406.2,30.21,113.2,,7.25,-8.69,390.3,402.1,73.0
52,1.73,F3,1,1,159.0,395.0,8.54,25.63,414.7,83.54,110.6,,-2.64,-9.9,387.7,404.8,76.0
53,1.77,F3,1,1,167.0,390.0,9.43,28.3,424.2,80.1,122.0,,11.45,14.09,399.1,416.2,81.0
54,1.8,F3,1,1,175.0,385.0,9.43,28.3,433.6,0.0,122.0,,0.0,-11.45,399.1,416.2,86.0
55,1.83,F3,1,1,183.0,379.0,10.0,30.0,443.6,50.94,126.9,,4.86,4.86,404.0,421.1,92.0
56,1.87,F3,1,1,191.0,373.0,10.0,30.0,453.6,0.0,126.9,,0.0,-4.86,404.0,421.1,98.0
57,1.9,F3,1,1,199.0,366.0,10.63,31.89,464.2,56.71,131.2,,4.32,4.32,408.3,425.4,105.0
58,1.93,F3,1,1,207.0,359.0,10.63,31.89,474.9,0.0,131.2,,0.0,-4.32,408.3,425.4,112.0
59,1.97,F3,1,1,215.0,351.0,11.31,33.94,486.2,61.52,135.0,,3.81,3.81,412.1,429.2,120.0
60,2.0,F3,1,1,223.0,343.0,11.31,33.94,497.5,0.0,135.0,,0.0,-3.81,412.1,429.2,128.0
61,2.03,F3,1,1,230.0,335.0,10.63,31.89,508.1,-61.52,138.8,,3.81,3.81,415.9,433.0,136.0
62,2.07,F3,1,1,237.0,326.0,11.4,34.21,519.5,69.44,142.1,,3.31,-0.5,419.3,436.3,145.0
63,2.1,F3,1,1,243.0,318.0,10.0,30.0,529.5,-126.16,143.1,,1.0,-2.31,420.3,437.4,153.0
64,2.13,F3,1,1,249.0,309.0,10.82,32.45,540.3,73.5,146.3,,3.18,2.17,423.4,440.5,162.0
65,2.17,F3,1,1,254.0,301.0,9.43,28.3,549.8,-124.44,148.0,,1.68,-1.5,425.1,442.2,170.0
66,2.2,F3,1,1,259.0,292.0,10.3,30.89,560.1,77.55,150.9,,2.95,1.27,428.1,445.2,179.0
67,2.23,F3,1,1,262.0,284.0,8.54,25.63,568.6,-157.65,159.4,,8.5,5.55,436.6,453.7,187.0
68,2.27,F3,1,1,266.0,276.0,8.94,26.83,577.6,36.02,153.4,,-6.01,-14.51,430.6,459.7,195.0
69,2.3,F3,1,1,268.0,268.0,8.25,24.74,585.8,-62.83,166.0,,12.53,18.54,443.1,472.2,203.0
70,2.33,F3,1,1,269.0,261.0,7.07,21.21,592.9,-105.76,171.9,,5.91,-6.62,449.0,478.1,202.0
71,2.37,F3,1,1,270.0,254.0,7.07,21.21,600.0,0.0,171.9,,0.0,-5.91,449.0,478.1,201.0
72,2.4,F3,1,1,269.0,247.0,7.07,21.21,607.0,0.0,-171.9,,16.26,16.26,465.3,494.4,202.0
73,2.43,F3,1,1,267.0,241.0,6.32,18.97,613.4,-67.19,-161.6,,10.3,-5.96,475.6,504.7,204.0
74,2.47,F3,1,1,264.0,236.0,5.83,17.49,619.2,-44.42,-149.0,,12.53,2.22,488.1,517.2,207.0
75,2.5,F3,1,1,260.0,231.0,6.4,19.21,625.6,51.5,-141.3,,7.7,-4.83,495.8,524.9,211.0
76,2.53,F3,1,1,254.0,228.0,6.71,20.12,632.3,27.46,-116.6,,24.78,17.08,520.6,549.7,217.0
77,2.57,F3,1,1,248.0,225.0,6.71,20.12,639.0,0.0,-116.6,,0.0,-24.78,520.6,549.7,223.0
