frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
1,0.03,F4,1,1,36.0,435.0,,,0.0,,,,,,0.0,0.0,35.0
2,0.07,F4,1,1,44.0,438.0,8.54,25.63,8.5,,69.4,,,,0.0,0.0,32.0
3,0.1,F4,1,1,52.0,440.0,8.25,24.74,16.8,-26.8,76.0,,6.52,,6.5,6.5,30.0
4,0.13,F4,1,1,61.0,442.0,9.22,27.66,26.0,87.6,77.5,,1.51,-5.01,8.0,8.0,28.0
5,0.17,F4,1,1,69.0,444.0,8.25,24.74,34.3,-87.6,76.0,,-1.51,-3.02,6.5,9.5,26.0
6,0.2,F4,1,1,78.0,445.0,9.06,27.17,43.3,72.83,83.7,,7.7,9.2,14.2,17.2,25.0
7,0.23,F4,1,1,87.0,446.0,9.06,27.17,52.4,0.0,83.7,,0.0,-7.7,14.2,17.2,24.0
8,0.27,F4,1,1,95.0,447.0,8.06,24.19,60.4,-89.38,82.9,,-0.78,-0.78,13.4,18.0,23.0
9,0.3,F4,1,1,104.0,448.0,9.06,27.17,69.5,89.38,83.7,,0.78,1.57,14.2,18.8,22.0
10,0.33,F4,1,1,113.0,448.0,9.0,27.0,78.5,-4.98,90.0,,6.34,5.56,20.6,25.1,22.0
11,0.37,F4,1,1,122.0,447.0,9.06,27.17,87.5,4.98,96.3,,6.34,0.0,26.9,31.5,23.0
12,0.4,F4,1,1,130.0,446.0,8.06,24.19,95.6,-89.38,97.1,,0.78,-5.56,27.7,32.3,24.0
13,0.43,F4,1,1,139.0,445.0,9.06,27.17,104.7,89.38,96.3,,-0.78,-1.57,26.9,33.1,25.0
14,0.47,F4,1,1,148.0,443.0,9.22,27.66,113.9,14.77,102.5,,6.19,6.97,33.1,39.2,27.0
15,0.5,F4,1,1,156.0,442.0,8.06,24.19,121.9,-104.16,97.1,,-5.4,-11.59,27.7,44.6,28.0
16,0.53,F4,1,1,165.0,439.0,9.49,28.46,131.4,128.21,108.4,,11.31,16.71,39.0,56.0,31.0
17,0.57,F4,1,1,173.0,437.0,8.25,24.74,139.7,-111.66,104.0,,-4.4,-15.71,34.6,60.4,33.0
18,0.6,F4,1,1,181.0,434.0,8.54,25.63,148.2,26.8,110.6,,6.52,10.92,41.1,66.9,36.0
19,0.63,F4,1,1,190.0,430.0,9.85,29.55,158.1,117.44,114.0,,3.41,-3.11,44.5,70.3,40.0
20,0.67,F4,1,1,200.0,426.0,10.77,32.31,168.8,82.93,111.8,,-2.16,-5.57,42.4,72.4,44.0
21,0.7,F4,1,1,209.0,420.0,10.82,32.45,179.7,4.17,123.7,,11.89,14.05,54.2,84.3,50.0
22,0.73,F4,1,1,217.0,415.0,9.43,28.3,189.1,-124.44,122.0,,-1.68,-13.57,52.6,86.0,55.0
23,0.77,F4,1,1,224.0,408.0,9.9,29.7,199.0,41.9,135.0,,13.0,14.68,65.6,99.0,62.0
24,0.8,F4,1,1,231.0,401.0,9.9,29.7,208.9,0.0,135.0,,0.0,-13.0,65.6,99.0,69.0
