frame,id,area,com,icom,consmerged,cx,cy
72,0,1525.0,"(1031, 881)","(1031, 881)",0.0,834.0,1006.0
73,0,1526.0,"(1017, 880)","(1017, 880)",0.0,1017.0,880.0
74,0,1464.0,"(998, 881)","(998, 881)",0.0,998.0,881.0
75,0,1466.0,"(980, 881)","(980, 881)",0.0,980.0,881.0
76,0,1484.0,"(962, 881)","(962, 881)",0.0,962.0,881.0
77,0,1421.0,"(946, 881)","(946, 881)",0.0,946.0,881.0
78,0,1395.0,"(927, 882)","(927, 882)",0.0,927.0,882.0
79,0,1358.0,"(908, 882)","(908, 882)",0.0,908.0,882.0
80,0,1324.0,"(889, 883)","(889, 883)",0.0,889.0,883.0
81,0,1330.0,"(871, 884)","(871, 884)",0.0,871.0,884.0
82,0,1361.0,"(851, 884)","(851, 884)",0.0,851.0,884.0
83,0,1348.0,"(832, 885)","(832, 885)",0.0,832.0,885.0
84,0,1368.0,"(812, 886)","(812, 886)",0.0,812.0,886.0
85,0,1434.0,"(794, 886)","(794, 886)",0.0,794.0,886.0
86,0,1594.0,"(775, 888)","(775, 888)",0.0,775.0,888.0
87,0,1590.0,"(758, 889)","(758, 889)",0.0,758.0,889.0
88,0,1613.0,"(739, 890)","(739, 890)",0.0,739.0,890.0
89,0,1585.0,"(720, 892)","(720, 892)",0.0,720.0,892.0
90,0,1473.0,"(701, 894)","(701, 894)",0.0,701.0,894.0
91,0,1440.0,"(679, 896)","(679, 896)",0.0,679.0,896.0
92,0,1489.0,"(658, 899)","(658, 899)",0.0,658.0,899.0
93,0,1519.0,"(639, 902)","(639, 902)",0.0,639.0,902.0
94,0,1552.0,"(621, 904)","(621, 904)",0.0,621.0,904.0
95,0,1523.0,"(602, 906)","(602, 906)",0.0,602.0,906.0
96,0,1571.0,"(582, 909)","(582, 909)",0.0,582.0,909.0
97,0,1560.0,"(561, 912)","(561, 912)",0.0,561.0,912.0
98,0,1584.0,"(543, 914)","(543, 914)",0.0,543.0,914.0
99,0,1617.0,"(524, 916)","(524, 916)",0.0,524.0,916.0
100,0,1654.0,"(503, 918)","(503, 918)",0.0,503.0,918.0
101,0,1551.0,"(485, 919)","(485, 919)",0.0,485.0,919.0
102,0,1524.0,"(464, 920)","(464, 920)",0.0,464.0,920.0
103,0,1526.0,"(445, 920)","(445, 920)",0.0,445.0,920.0
104,0,1546.0,"(422, 920)","(422, 920)",0.0,422.0,920.0
105,0,1477.0,"(403, 919)","(403, 919)",0.0,403.0,919.0
106,0,1576.0,"(385, 918)","(385, 918)",0.0,385.0,918.0
107,0,1568.0,"(365, 916)","(365, 916)",0.0,365.0,916.0
108,0,1560.0,"(348, 913)","(348, 913)",0.0,348.0,913.0
109,0,1657.0,"(328, 908)","(328, 908)",0.0,328.0,908.0
110,0,1562.0,"(310, 903)","(310, 903)",0.0,310.0,903.0
111,0,1590.0,"(291, 896)","(291, 896)",0.0,291.0,896.0
112,0,1578.0,"(273, 889)","(273, 889)",0.0,273.0,889.0
113,0,1527.0,"(256, 880)","(256, 880)",0.0,256.0,880.0
114,0,1415.0,"(241, 870)","(241, 870)",0.0,241.0,870.0
115,0,1521.0,"(224, 858)","(224, 858)",0.0,224.0,858.0
116,0,1451.0,"(210, 845)","(210, 845)",0.0,210.0,845.0
117,0,1493.0,"(197, 832)","(197, 832)",0.0,197.0,832.0
118,0,1499.0,"(187, 820)","(187, 820)",0.0,187.0,820.0
119,0,1595.0,"(176, 805)","(176, 805)",0.0,176.0,805.0
120,0,1614.0,"(167, 788)","(167, 788)",0.0,167.0,788.0
121,0,1536.0,"(159, 772)","(159, 772)",0.0,159.0,772.0
122,0,1609.0,"(153, 754)","(153, 754)",0.0,153.0,754.0
123,0,1560.0,"(149, 740)","(149, 740)",0.0,149.0,740.0
124,0,1597.0,"(144, 722)","(144, 722)",0.0,144.0,722.0
125,0,1616.0,"(140, 703)","(140, 703)",0.0,140.0,703.0
126,0,1631.0,"(138, 687)","(138, 687)",0.0,138.0,687.0
127,0,1574.0,"(136, 670)","(136, 670)",0.0,136.0,670.0
128,0,1638.0,"(134, 653)","(134, 653)",0.0,134.0,653.0
129,0,1658.0,"(135, 638)","(135, 638)",0.0,135.0,638.0
130,0,1699.0,"(135, 621)","(135, 621)",0.0,135.0,621.0
131,0,1709.0,"(137, 606)","(137, 606)",0.0,137.0,606.0
132,0,1724.0,"(139, 590)","(139, 590)",0.0,139.0,590.0
133,0,1656.0,"(143, 575)","(143, 575)",0.0,143.0,575.0
134,0,1640.0,"(147, 559)","(147, 559)",0.0,147.0,559.0
135,0,1634.0,"(152, 544)","(152, 544)",0.0,152.0,544.0
136,0,1669.0,"(157, 530)","(157, 530)",0.0,157.0,530.0
137,0,1653.0,"(163, 517)","(163, 517)",0.0,163.0,517.0
138,0,1630.0,"(171, 504)","(171, 504)",0.0,171.0,504.0
139,0,1682.0,"(179, 493)","(179, 493)",0.0,179.0,493.0
140,0,1583.0,"(186, 482)","(186, 482)",0.0,186.0,482.0
141,0,1531.0,"(194, 472)","(194, 472)",0.0,194.0,472.0
142,0,1514.0,"(204, 461)","(204, 461)",0.0,204.0,461.0
143,0,1531.0,"(215, 452)","(215, 452)",0.0,215.0,452.0
144,0,1544.0,"(226, 442)","(226, 442)",0.0,226.0,442.0
145,0,1480.0,"(237, 435)","(237, 435)",0.0,237.0,435.0
146,0,1480.0,"(247, 428)","(247, 428)",0.0,247.0,428.0
147,0,1472.0,"(257, 422)","(257, 422)",0.0,257.0,422.0
148,0,1466.0,"(267, 416)","(267, 416)",0.0,267.0,416.0
149,0,1459.0,"(278, 411)","(278, 411)",0.0,278.0,411.0
150,0,1534.0,"(289, 407)","(289, 407)",0.0,289.0,407.0
151,0,1575.0,"(300, 403)","(300, 403)",0.0,300.0,403.0
152,0,1551.0,"(311, 400)","(311, 400)",0.0,311.0,400.0
153,0,1532.0,"(322, 397)","(322, 397)",0.0,322.0,397.0
154,0,1558.0,"(332, 394)","(332, 394)",0.0,332.0,394.0
155,0,1545.0,"(342, 393)","(342, 393)",0.0,342.0,393.0
156,0,1572.0,"(352, 392)","(352, 392)",0.0,352.0,392.0
157,0,1611.0,"(361, 391)","(361, 391)",0.0,361.0,391.0
158,0,1631.0,"(370, 391)","(370, 391)",0.0,370.0,391.0
159,0,1646.0,"(379, 391)","(379, 391)",0.0,379.0,391.0
160,0,1654.0,"(388, 391)","(388, 391)",0.0,388.0,391.0
161,0,1655.0,"(397, 393)","(397, 393)",0.0,397.0,393.0
162,0,1642.0,"(406, 394)","(406, 394)",0.0,406.0,394.0
163,0,1584.0,"(414, 395)","(414, 395)",0.0,414.0,395.0
164,0,1615.0,"(422, 397)","(422, 397)",0.0,422.0,397.0
165,0,1627.0,"(430, 399)","(430, 399)",0.0,430.0,399.0
166,0,1650.0,"(438, 400)","(438, 400)",0.0,438.0,400.0
167,0,1647.0,"(443, 402)","(443, 402)",0.0,443.0,402.0
168,0,1673.0,"(449, 404)","(449, 404)",0.0,449.0,404.0
169,0,1670.0,"(455, 406)","(455, 406)",0.0,455.0,406.0
170,0,1716.0,"(461, 408)","(461, 408)",0.0,461.0,408.0
171,0,1691.0,"(466, 411)","(466, 411)",0.0,466.0,411.0
172,0,1658.0,"(472, 413)","(472, 413)",0.0,472.0,413.0
173,0,1615.0,"(477, 415)","(477, 415)",0.0,477.0,415.0
174,0,1575.0,"(481, 418)","(481, 418)",0.0,481.0,418.0
175,0,1547.0,"(485, 420)","(485, 420)",0.0,485.0,420.0
176,0,1533.0,"(489, 422)","(489, 422)",0.0,489.0,422.0
177,0,1506.0,"(494, 425)","(494, 425)",0.0,494.0,425.0
178,0,1478.0,"(498, 428)","(498, 428)",0.0,498.0,428.0
179,0,1454.0,"(502, 430)","(502, 430)",0.0,502.0,430.0
180,0,1419.0,"(505, 432)","(505, 432)",0.0,505.0,432.0
181,0,1432.0,"(509, 435)","(509, 435)",0.0,509.0,435.0
182,0,1441.0,"(512, 437)","(512, 437)",0.0,512.0,437.0
183,0,1445.0,"(515, 439)","(515, 439)",0.0,515.0,439.0
184,0,1437.0,"(517, 441)","(517, 441)",0.0,517.0,441.0
185,0,1442.0,"(519, 443)","(519, 443)",0.0,519.0,443.0
186,0,1447.0,"(521, 444)","(521, 444)",0.0,521.0,444.0
187,0,1438.0,"(522, 445)","(522, 445)",0.0,522.0,445.0
188,0,1456.0,"(524, 447)","(524, 447)",0.0,524.0,447.0
189,0,1467.0,"(525, 448)","(525, 448)",0.0,525.0,448.0
190,0,1470.0,"(526, 448)","(526, 448)",0.0,526.0,448.0
191,0,1464.0,"(528, 449)","(528, 449)",0.0,528.0,449.0
192,0,1458.0,"(528, 450)","(528, 450)",0.0,528.0,450.0
193,0,1449.0,"(529, 451)","(529, 451)",0.0,529.0,451.0
194,0,1442.0,"(530, 451)","(530, 451)",0.0,530.0,451.0
195,0,1441.0,"(530, 451)","(530, 451)",0.0,530.0,451.0
196,0,1445.0,"(530, 451)","(530, 451)",0.0,530.0,451.0
197,0,1389.0,"(530, 453)","(530, 453)",0.0,530.0,453.0
198,0,1386.0,"(530, 453)","(530, 453)",0.0,530.0,453.0
199,0,1392.0,"(531, 453)","(531, 453)",0.0,531.0,453.0
200,0,1407.0,"(531, 454)","(531, 454)",0.0,531.0,454.0
201,0,1407.0,"(531, 454)","(531, 454)",0.0,531.0,454.0
202,0,1390.0,"(533, 455)","(533, 455)",0.0,533.0,455.0
203,0,1396.0,"(534, 456)","(534, 456)",0.0,534.0,456.0
204,0,1416.0,"(534, 457)","(534, 457)",0.0,534.0,457.0
205,0,1421.0,"(535, 458)","(535, 458)",0.0,535.0,458.0
206,0,1423.0,"(537, 460)","(537, 460)",0.0,537.0,460.0
207,0,1436.0,"(538, 461)","(538, 461)",0.0,538.0,461.0
208,0,1436.0,"(539, 463)","(539, 463)",0.0,539.0,463.0
209,0,1451.0,"(541, 464)","(541, 464)",0.0,541.0,464.0
210,0,1459.0,"(542, 466)","(542, 466)",0.0,542.0,466.0
211,0,1483.0,"(544, 468)","(544, 468)",0.0,544.0,468.0
212,0,1502.0,"(545, 469)","(545, 469)",0.0,545.0,469.0
213,0,1512.0,"(547, 471)","(547, 471)",0.0,547.0,471.0
214,0,1518.0,"(549, 473)","(549, 473)",0.0,549.0,473.0
215,0,1505.0,"(550, 476)","(550, 476)",0.0,550.0,476.0
216,0,1507.0,"(552, 478)","(552, 478)",0.0,552.0,478.0
217,0,1488.0,"(554, 480)","(554, 480)",0.0,554.0,480.0
218,0,1515.0,"(557, 483)","(557, 483)",0.0,557.0,483.0
219,0,1542.0,"(559, 486)","(559, 486)",0.0,559.0,486.0
220,0,1569.0,"(562, 489)","(562, 489)",0.0,562.0,489.0
221,0,1575.0,"(564, 492)","(564, 492)",0.0,564.0,492.0
222,0,1588.0,"(568, 496)","(568, 496)",0.0,568.0,496.0
223,0,1584.0,"(572, 500)","(572, 500)",0.0,572.0,500.0
224,0,1572.0,"(575, 504)","(575, 504)",0.0,575.0,504.0
225,0,1566.0,"(578, 508)","(578, 508)",0.0,578.0,508.0
226,0,1587.0,"(582, 512)","(582, 512)",0.0,582.0,512.0
227,0,1609.0,"(585, 515)","(585, 515)",0.0,585.0,515.0
228,0,1630.0,"(590, 520)","(590, 520)",0.0,590.0,520.0
229,0,1636.0,"(594, 525)","(594, 525)",0.0,594.0,525.0
230,0,1629.0,"(598, 530)","(598, 530)",0.0,598.0,530.0
231,0,1610.0,"(603, 534)","(603, 534)",0.0,603.0,534.0
232,0,1619.0,"(608, 540)","(608, 540)",0.0,608.0,540.0
233,0,1650.0,"(612, 544)","(612, 544)",0.0,612.0,544.0
234,0,1674.0,"(616, 549)","(616, 549)",0.0,616.0,549.0
235,0,1678.0,"(621, 554)","(621, 554)",0.0,621.0,554.0
236,0,1671.0,"(625, 559)","(625, 559)",0.0,625.0,559.0
237,0,1634.0,"(630, 564)","(630, 564)",0.0,630.0,564.0
238,0,1570.0,"(634, 569)","(634, 569)",0.0,634.0,569.0
239,0,1598.0,"(640, 575)","(640, 575)",0.0,640.0,575.0
240,0,1627.0,"(646, 581)","(646, 581)",0.0,646.0,581.0
241,0,1625.0,"(652, 588)","(652, 588)",0.0,652.0,588.0
242,0,1642.0,"(658, 594)","(658, 594)",0.0,658.0,594.0
243,0,1589.0,"(664, 601)","(664, 601)",0.0,664.0,601.0
244,0,1579.0,"(671, 607)","(671, 607)",0.0,671.0,607.0
245,0,1576.0,"(678, 614)","(678, 614)",0.0,678.0,614.0
246,0,1514.0,"(684, 621)","(684, 621)",0.0,684.0,621.0
247,0,1564.0,"(690, 627)","(690, 627)",0.0,690.0,627.0
248,0,1592.0,"(697, 634)","(697, 634)",0.0,697.0,634.0
249,0,1592.0,"(704, 642)","(704, 642)",0.0,704.0,642.0
250,0,1581.0,"(710, 649)","(710, 649)",0.0,710.0,649.0
251,0,1586.0,"(717, 656)","(717, 656)",0.0,717.0,656.0
252,0,1678.0,"(725, 664)","(725, 664)",0.0,725.0,664.0
253,0,1624.0,"(732, 671)","(732, 671)",0.0,732.0,671.0
254,0,1666.0,"(740, 679)","(740, 679)",0.0,740.0,679.0
255,0,1656.0,"(748, 687)","(748, 687)",0.0,748.0,687.0
256,0,1582.0,"(756, 695)","(756, 695)",0.0,756.0,695.0
257,0,1540.0,"(764, 704)","(764, 704)",0.0,764.0,704.0
258,0,1624.0,"(773, 712)","(773, 712)",0.0,773.0,712.0
259,0,1637.0,"(782, 721)","(782, 721)",0.0,782.0,721.0
260,0,1692.0,"(789, 729)","(789, 729)",0.0,789.0,729.0
261,0,1666.0,"(798, 736)","(798, 736)",0.0,798.0,736.0
262,0,1650.0,"(807, 745)","(807, 745)",0.0,807.0,745.0
263,0,1650.0,"(816, 753)","(816, 753)",0.0,816.0,753.0
264,0,1703.0,"(826, 762)","(826, 762)",0.0,826.0,762.0
265,0,1688.0,"(836, 770)","(836, 770)",0.0,836.0,770.0
266,0,1589.0,"(846, 778)","(846, 778)",0.0,846.0,778.0
267,0,1597.0,"(857, 787)","(857, 787)",0.0,857.0,787.0
268,0,1571.0,"(866, 794)","(866, 794)",0.0,866.0,794.0
269,0,1508.0,"(876, 802)","(876, 802)",0.0,876.0,802.0
270,0,1465.0,"(887, 811)","(887, 811)",0.0,887.0,811.0
271,0,1350.0,"(900, 820)","(900, 820)",0.0,900.0,820.0
272,0,1389.0,"(914, 828)","(914, 828)",0.0,914.0,828.0
273,0,1419.0,"(928, 837)","(928, 837)",0.0,928.0,837.0
274,0,1502.0,"(940, 845)","(940, 845)",0.0,940.0,845.0
275,0,1541.0,"(952, 852)","(952, 852)",0.0,952.0,852.0
276,0,1518.0,"(962, 857)","(962, 857)",0.0,962.0,857.0
277,0,1573.0,"(975, 864)","(975, 864)",0.0,975.0,864.0
278,0,1564.0,"(988, 871)","(988, 871)",0.0,988.0,871.0
279,0,1535.0,"(1003, 878)","(1003, 878)",0.0,1003.0,878.0
280,0,1518.0,"(1020, 885)","(1020, 885)",0.0,1020.0,885.0
281,0,1534.0,"(1034, 891)","(1034, 891)",0.0,1034.0,891.0
282,0,1553.0,"(1047, 895)","(1047, 895)",0.0,1047.0,895.0
283,0,1483.0,"(1061, 900)","(1061, 900)",0.0,1061.0,900.0
284,0,1544.0,"(1077, 904)","(1077, 904)",0.0,1077.0,904.0
285,0,1524.0,"(1094, 907)","(1094, 907)",0.0,1094.0,907.0
286,0,1526.0,"(1111, 910)","(1111, 910)",0.0,1111.0,910.0
287,0,1559.0,"(1128, 912)","(1128, 912)",0.0,1128.0,912.0
288,0,1603.0,"(1145, 913)","(1145, 913)",0.0,1145.0,913.0
289,0,1595.0,"(1159, 912)","(1159, 912)",0.0,1159.0,912.0
290,0,1608.0,"(1176, 911)","(1176, 911)",0.0,1176.0,911.0
291,0,1575.0,"(1193, 909)","(1193, 909)",0.0,1193.0,909.0
292,0,1536.0,"(1210, 906)","(1210, 906)",0.0,1210.0,906.0
293,0,1501.0,"(1229, 900)","(1229, 900)",0.0,1229.0,900.0
294,0,1564.0,"(1244, 894)","(1244, 894)",0.0,1244.0,894.0
295,0,1584.0,"(1260, 885)","(1260, 885)",0.0,1260.0,885.0
296,0,1598.0,"(1274, 877)","(1274, 877)",0.0,1274.0,877.0
297,0,1661.0,"(1288, 866)","(1288, 866)",0.0,1288.0,866.0
298,0,1643.0,"(1301, 855)","(1301, 855)",0.0,1301.0,855.0
299,0,1653.0,"(1313, 842)","(1313, 842)",0.0,1313.0,842.0
300,0,1555.0,"(1324, 829)","(1324, 829)",0.0,1324.0,829.0
301,0,1526.0,"(1335, 814)","(1335, 814)",0.0,1335.0,814.0
302,0,1510.0,"(1344, 800)","(1344, 800)",0.0,1344.0,800.0
303,0,1589.0,"(1355, 782)","(1355, 782)",0.0,1355.0,782.0
304,0,1531.0,"(1363, 765)","(1363, 765)",0.0,1363.0,765.0
305,0,1595.0,"(1372, 749)","(1372, 749)",0.0,1372.0,749.0
306,0,1606.0,"(1380, 735)","(1380, 735)",0.0,1380.0,735.0
307,0,1549.0,"(1389, 720)","(1389, 720)",0.0,1389.0,720.0
308,0,1567.0,"(1399, 703)","(1399, 703)",0.0,1399.0,703.0
309,0,1501.0,"(1410, 688)","(1410, 688)",0.0,1410.0,688.0
310,0,1526.0,"(1422, 674)","(1422, 674)",0.0,1422.0,674.0
311,0,1508.0,"(1434, 661)","(1434, 661)",0.0,1434.0,661.0
312,0,1545.0,"(1449, 649)","(1449, 649)",0.0,1449.0,649.0
313,0,1538.0,"(1464, 638)","(1464, 638)",0.0,1464.0,638.0
314,0,1592.0,"(1480, 628)","(1480, 628)",0.0,1480.0,628.0
315,0,1581.0,"(1495, 620)","(1495, 620)",0.0,1495.0,620.0
316,0,1624.0,"(1511, 613)","(1511, 613)",0.0,1511.0,613.0
317,0,1628.0,"(1530, 605)","(1530, 605)",0.0,1530.0,605.0
318,0,1624.0,"(1547, 598)","(1547, 598)",0.0,1547.0,598.0
319,0,1636.0,"(1564, 591)","(1564, 591)",0.0,1564.0,591.0
320,0,1638.0,"(1580, 584)","(1580, 584)",0.0,1580.0,584.0
321,0,1603.0,"(1598, 577)","(1598, 577)",0.0,1598.0,577.0
322,0,1640.0,"(1615, 568)","(1615, 568)",0.0,1615.0,568.0
323,0,1583.0,"(1630, 560)","(1630, 560)",0.0,1630.0,560.0
324,0,1652.0,"(1646, 550)","(1646, 550)",0.0,1646.0,550.0
325,0,1608.0,"(1661, 538)","(1661, 538)",0.0,1661.0,538.0
326,0,1657.0,"(1675, 526)","(1675, 526)",0.0,1675.0,526.0
327,0,1671.0,"(1688, 514)","(1688, 514)",0.0,1688.0,514.0
328,0,1658.0,"(1700, 502)","(1700, 502)",0.0,1700.0,502.0
329,0,1634.0,"(1711, 488)","(1711, 488)",0.0,1711.0,488.0
330,0,1680.0,"(1722, 473)","(1722, 473)",0.0,1722.0,473.0
331,0,1531.0,"(1732, 458)","(1732, 458)",0.0,1732.0,458.0
332,0,1538.0,"(1741, 440)","(1741, 440)",0.0,1741.0,440.0
333,0,1566.0,"(1747, 425)","(1747, 425)",0.0,1747.0,425.0
334,0,1589.0,"(1752, 408)","(1752, 408)",0.0,1752.0,408.0
335,0,1551.0,"(1757, 389)","(1757, 389)",0.0,1757.0,389.0
336,0,1646.0,"(1760, 373)","(1760, 373)",0.0,1760.0,373.0
337,0,1595.0,"(1761, 356)","(1761, 356)",0.0,1761.0,356.0
338,0,1639.0,"(1761, 339)","(1761, 339)",0.0,1761.0,339.0
339,0,1629.0,"(1760, 322)","(1760, 322)",0.0,1760.0,322.0
340,0,1631.0,"(1757, 305)","(1757, 305)",0.0,1757.0,305.0
341,0,1578.0,"(1752, 289)","(1752, 289)",0.0,1752.0,289.0
342,0,1595.0,"(1745, 272)","(1745, 272)",0.0,1745.0,272.0
343,0,1562.0,"(1736, 256)","(1736, 256)",0.0,1736.0,256.0
344,0,1609.0,"(1727, 242)","(1727, 242)",0.0,1727.0,242.0
345,0,1573.0,"(1717, 230)","(1717, 230)",0.0,1717.0,230.0
346,0,1659.0,"(1706, 219)","(1706, 219)",0.0,1706.0,219.0
347,0,1656.0,"(1693, 208)","(1693, 208)",0.0,1693.0,208.0
348,0,1660.0,"(1680, 199)","(1680, 199)",0.0,1680.0,199.0
349,0,1584.0,"(1667, 192)","(1667, 192)",0.0,1667.0,192.0
350,0,1612.0,"(1653, 185)","(1653, 185)",0.0,1653.0,185.0
351,0,1610.0,"(1637, 179)","(1637, 179)",0.0,1637.0,179.0
352,0,1621.0,"(1622, 175)","(1622, 175)",0.0,1622.0,175.0
353,0,1629.0,"(1606, 172)","(1606, 172)",0.0,1606.0,172.0
354,0,1661.0,"(1590, 170)","(1590, 170)",0.0,1590.0,170.0
355,0,1641.0,"(1576, 169)","(1576, 169)",0.0,1576.0,169.0
356,0,1692.0,"(1561, 169)","(1561, 169)",0.0,1561.0,169.0
357,0,1628.0,"(1547, 170)","(1547, 170)",0.0,1547.0,170.0
358,0,1626.0,"(1533, 171)","(1533, 171)",0.0,1533.0,171.0
359,0,1608.0,"(1517, 172)","(1517, 172)",0.0,1517.0,172.0
360,0,1573.0,"(1504, 173)","(1504, 173)",0.0,1504.0,173.0
361,0,1522.0,"(1489, 175)","(1489, 175)",0.0,1489.0,175.0
362,0,1492.0,"(1474, 177)","(1474, 177)",0.0,1474.0,177.0
363,0,1559.0,"(1459, 180)","(1459, 180)",0.0,1459.0,180.0
364,0,1543.0,"(1447, 182)","(1447, 182)",0.0,1447.0,182.0
365,0,1562.0,"(1432, 185)","(1432, 185)",0.0,1432.0,185.0
366,0,1597.0,"(1420, 188)","(1420, 188)",0.0,1420.0,188.0
367,0,1599.0,"(1408, 191)","(1408, 191)",0.0,1408.0,191.0
368,0,1648.0,"(1396, 193)","(1396, 193)",0.0,1396.0,193.0
369,0,1605.0,"(1383, 195)","(1383, 195)",0.0,1383.0,195.0
370,0,1640.0,"(1369, 198)","(1369, 198)",0.0,1369.0,198.0
371,0,1622.0,"(1357, 200)","(1357, 200)",0.0,1357.0,200.0
372,0,1576.0,"(1347, 201)","(1347, 201)",0.0,1347.0,201.0
