frame,id,area,com,icom,consmerged
167,0,780,"(292, 392)","(292, 392)",0
168,0,778,"(300, 391)","(300, 391)",0
169,0,787,"(307, 389)","(307, 389)",0
170,0,784,"(314, 387)","(314, 387)",0
171,0,772,"(321, 384)","(321, 384)",0
172,0,783,"(328, 382)","(328, 382)",0
173,0,779,"(334, 378)","(334, 378)",0
174,0,785,"(341, 375)","(341, 375)",0
175,0,782,"(347, 371)","(347, 371)",0
176,0,780,"(353, 368)","(353, 368)",0
177,0,783,"(359, 363)","(359, 363)",0
178,0,783,"(365, 359)","(365, 359)",0
179,0,783,"(371, 354)","(371, 354)",0
180,0,784,"(376, 350)","(376, 350)",0
181,0,778,"(381, 344)","(381, 344)",0
182,0,783,"(386, 339)","(386, 339)",0
183,0,781,"(391, 334)","(391, 334)",0
184,0,778,"(396, 328)","(396, 328)",0
185,0,777,"(400, 322)","(400, 322)",0
186,0,782,"(404, 316)","(404, 316)",0
187,0,784,"(408, 310)","(408, 310)",0
188,0,784,"(411, 304)","(411, 304)",0
189,0,780,"(415, 297)","(415, 297)",0
190,0,787,"(418, 291)","(418, 291)",0
191,0,785,"(421, 284)","(421, 284)",0
192,0,786,"(423, 277)","(423, 277)",0
193,0,777,"(426, 271)","(426, 271)",0
194,0,777,"(428, 264)","(428, 264)",0
195,0,777,"(430, 257)","(430, 257)",0
196,0,782,"(431, 249)","(431, 249)",0
197,0,780,"(433, 242)","(433, 242)",0
198,0,785,"(434, 235)","(434, 235)",0
199,0,778,"(434, 228)","(434, 228)",0
200,0,782,"(435, 220)","(435, 220)",0
201,0,776,"(435, 213)","(435, 213)",0
202,0,780,"(435, 206)","(435, 206)",0
203,0,778,"(434, 199)","(434, 199)",0
204,0,783,"(433, 191)","(433, 191)",0
205,0,781,"(432, 184)","(432, 184)",0
206,0,782,"(430, 177)","(430, 177)",0
207,0,781,"(428, 170)","(428, 170)",0
208,0,780,"(426, 162)","(426, 162)",0
209,0,780,"(424, 155)","(424, 155)",0
210,0,784,"(421, 148)","(421, 148)",0
211,0,778,"(417, 141)","(417, 141)",0
212,0,780,"(414, 134)","(414, 134)",0
213,0,775,"(410, 128)","(410, 128)",0
214,0,782,"(405, 121)","(405, 121)",0
215,0,780,"(401, 114)","(401, 114)",0
216,0,779,"(395, 108)","(395, 108)",0
217,0,779,"(390, 102)","(390, 102)",0
218,0,778,"(384, 96)","(384, 96)",0
219,0,779,"(378, 90)","(378, 90)",0
220,0,783,"(371, 84)","(371, 84)",0
221,0,776,"(364, 78)","(364, 78)",0
222,0,778,"(356, 73)","(356, 73)",0
223,0,780,"(349, 68)","(349, 68)",0
224,0,778,"(342, 64)","(342, 64)",0
225,0,779,"(334, 60)","(334, 60)",0
226,0,784,"(327, 56)","(327, 56)",0
227,0,776,"(320, 53)","(320, 53)",0
228,0,778,"(312, 50)","(312, 50)",0
229,0,779,"(305, 48)","(305, 48)",0
230,0,783,"(297, 46)","(297, 46)",0
231,0,781,"(290, 44)","(290, 44)",0
232,0,782,"(282, 42)","(282, 42)",0
233,0,781,"(275, 42)","(275, 42)",0
234,0,785,"(267, 41)","(267, 41)",0
