frame,id,area,com,icom,consmerged
1,0,766,"(36, 435)","(36, 435)",0
2,0,769,"(44, 438)","(44, 438)",0
3,0,770,"(52, 440)","(52, 440)",0
4,0,770,"(61, 442)","(61, 442)",0
5,0,770,"(69, 444)","(69, 444)",0
6,0,770,"(78, 445)","(78, 445)",0
7,0,772,"(87, 446)","(87, 446)",0
8,0,779,"(95, 447)","(95, 447)",0
9,0,787,"(104, 448)","(104, 448)",0
10,0,779,"(113, 448)","(113, 448)",0
11,0,777,"(122, 447)","(122, 447)",0
12,0,774,"(130, 446)","(130, 446)",0
13,0,768,"(139, 445)","(139, 445)",0
14,0,774,"(148, 443)","(148, 443)",0
15,0,770,"(156, 442)","(156, 442)",0
16,0,776,"(165, 439)","(165, 439)",0
17,0,766,"(173, 437)","(173, 437)",0
18,0,766,"(181, 434)","(181, 434)",0
19,0,769,"(190, 430)","(190, 430)",0
20,0,772,"(200, 426)","(200, 426)",0
21,0,772,"(209, 420)","(209, 420)",0
22,0,769,"(217, 415)","(217, 415)",0
23,0,766,"(224, 408)","(224, 408)",0
24,0,772,"(231, 401)","(231, 401)",0
25,0,767,"(237, 394)","(237, 394)",0
26,0,772,"(242, 386)","(242, 386)",0
27,0,770,"(247, 378)","(247, 378)",0
28,0,776,"(251, 370)","(251, 370)",0
29,0,767,"(254, 361)","(254, 361)",0
30,0,768,"(257, 352)","(257, 352)",0
31,0,763,"(259, 343)","(259, 343)",0
32,0,773,"(261, 333)","(261, 333)",0
33,0,770,"(262, 324)","(262, 324)",0
34,0,770,"(262, 314)","(262, 314)",0
35,0,769,"(262, 304)","(262, 304)",0
36,0,769,"(262, 294)","(262, 294)",0
37,0,773,"(261, 284)","(261, 284)",0
38,0,769,"(260, 274)","(260, 274)",0
39,0,774,"(258, 265)","(258, 265)",0
40,0,772,"(256, 255)","(256, 255)",0
41,0,773,"(254, 245)","(254, 245)",0
42,0,775,"(251, 236)","(251, 236)",0
43,0,771,"(248, 227)","(248, 227)",0
44,0,773,"(244, 218)","(244, 218)",0
45,0,770,"(240, 209)","(240, 209)",0
46,0,769,"(236, 201)","(236, 201)",0
47,0,765,"(232, 193)","(232, 193)",0
48,0,771,"(227, 185)","(227, 185)",0
49,0,772,"(222, 178)","(222, 178)",0
50,0,773,"(217, 172)","(217, 172)",0
51,0,768,"(212, 165)","(212, 165)",0
52,0,770,"(206, 160)","(206, 160)",0
53,0,767,"(201, 155)","(201, 155)",0
54,0,769,"(195, 150)","(195, 150)",0
55,0,772,"(189, 147)","(189, 147)",0
56,0,772,"(183, 144)","(183, 144)",0
57,0,765,"(177, 141)","(177, 141)",0
58,0,771,"(171, 140)","(171, 140)",0
59,0,765,"(165, 139)","(165, 139)",0
