frame,id,area,com,icom,consmerged
1,0,842,"(33, 436)","(33, 436)",0
2,0,844,"(41, 437)","(41, 437)",0
3,0,845,"(49, 437)","(49, 437)",0
4,0,847,"(57, 436)","(57, 436)",0
5,0,846,"(65, 435)","(65, 435)",0
6,0,855,"(73, 434)","(73, 434)",0
7,0,846,"(82, 431)","(82, 431)",0
8,0,847,"(91, 429)","(91, 429)",0
9,0,846,"(100, 426)","(100, 426)",0
10,0,851,"(111, 422)","(111, 422)",0
11,0,848,"(121, 417)","(121, 417)",0
12,0,849,"(130, 411)","(130, 411)",0
13,0,845,"(139, 405)","(139, 405)",0
14,0,844,"(147, 399)","(147, 399)",0
15,0,850,"(155, 392)","(155, 392)",0
16,0,848,"(161, 385)","(161, 385)",0
17,0,847,"(167, 378)","(167, 378)",0
18,0,845,"(172, 371)","(172, 371)",0
19,0,842,"(176, 364)","(176, 364)",0
20,0,854,"(180, 357)","(180, 357)",0
21,0,844,"(182, 350)","(182, 350)",0
22,0,845,"(183, 343)","(183, 343)",0
23,0,843,"(183, 337)","(183, 337)",0
24,0,846,"(182, 331)","(182, 331)",0
25,0,848,"(180, 326)","(180, 326)",0
26,0,845,"(177, 321)","(177, 321)",0
27,0,846,"(172, 317)","(172, 317)",0
28,0,849,"(166, 314)","(166, 314)",0
29,0,849,"(158, 311)","(158, 311)",0
30,0,848,"(150, 310)","(150, 310)",0
31,0,847,"(142, 311)","(142, 311)",0
32,0,849,"(134, 313)","(134, 313)",0
33,0,846,"(126, 317)","(126, 317)",0
34,0,850,"(119, 322)","(119, 322)",0
35,0,843,"(113, 328)","(113, 328)",0
36,0,850,"(108, 334)","(108, 334)",0
37,0,852,"(103, 341)","(103, 341)",0
38,0,845,"(100, 349)","(100, 349)",0
39,0,846,"(98, 357)","(98, 357)",0
40,0,846,"(98, 366)","(98, 366)",0
41,0,847,"(99, 375)","(99, 375)",0
42,0,845,"(101, 383)","(101, 383)",0
43,0,848,"(104, 390)","(104, 390)",0
44,0,849,"(108, 395)","(108, 395)",0
45,0,844,"(113, 399)","(113, 399)",0
